config,r12,r13,r14,r23,r24,r34
107,25.625,25.625,59.375,59.375,48.125,59.375
108,25.625,25.625,59.375,59.375,59.375,59.375
109,25.625,36.875,36.875,36.875,36.875,25.625
110,25.625,36.875,36.875,36.875,36.875,36.875
111,25.625,36.875,36.875,36.875,36.875,48.125
112,25.625,36.875,36.875,36.875,36.875,59.375
113,25.625,36.875,36.875,36.875,48.125,25.625
114,25.625,36.875,36.875,36.875,48.125,36.875
115,25.625,36.875,36.875,36.875,48.125,48.125
116,25.625,36.875,36.875,36.875,48.125,59.375
117,25.625,36.875,36.875,36.875,59.375,25.625
118,25.625,36.875,36.875,36.875,59.375,36.875
119,25.625,36.875,36.875,36.875,59.375,48.125
120,25.625,36.875,36.875,36.875,59.375,59.375
121,25.625,36.875,36.875,48.125,48.125,25.625
122,25.625,36.875,36.875,48.125,48.125,36.875
123,25.625,36.875,36.875,48.125,48.125,48.125
124,25.625,36.875,36.875,48.125,48.125,59.375
125,25.625,36.875,36.875,48.125,59.375,25.625
126,25.625,36.875,36.875,48.125,59.375,36.875
